Marka,Model,Değerlendirme Sayısı,Soru-Cevap Sayısı,Değerlendirme Puanı,Fiyat,İşlemci Tipi,Ram (Sistem Belleği),SSD Kapasitesi,İşletim Sistemi,Çözünürlük,Ekran Yenileme Hızı,Ekran Kartı,Ekran Boyutu,Kullanım Amacı,Cihaz Ağırlığı,Ekran Kartı Tipi,Ekran Kartı Hafızası,İşlemci Modeli,İşlemci Çekirdek Sayısı,İşlemci Nesli,Hard Disk Kapasitesi,Dokunmatik Ekran,Panel Tipi,Çözünürlük Standartı,Ram (Sistem Belleği) Tipi,Arttırılabilir Azami Bellek,Garanti Tipi,Bağlantılar,Ekran Kartı Bellek Tipi,Temel İşlemci Hızı (GHz),Klavye,Maksimum İşlemci Hızı (GHz),Garanti Süresi,Renk,Kapasite,İşlemci Frekansı,Power Supply,Optik Sürücü Tipi,HDMI,Okula Dönüş,Beden,Şarjlı Kullanım Süresi,Ekran Kartı Gücü,Soket Tipi
ASUS,"Vivobook 15 Intel Core i5-1235U 24GB 1TB SSD W11 PRO 15.6"" FHD + Mouse",9,41,4.8,24.337 TL,Intel Core i5,24 GB,1 TB,Windows,1920 x 1080,60 Hz,Intel Iris Graphics,"15,6 inç",Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,1235U,10,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,,Asus Türkiye Garantili,USB - Bluetooth - HDMI,DDR5,1.3,Q Türkçe,4.4,2 Yıl,Siyah,,,,Yok,,,,4-6 Saat,,
HP,"255 G8 Amd Ryzen 5 5500u 8gb Ram 256gb Ssd 15.6"" Fhd Windows 11 7n4w2aa",70,335,4.7,13.499 TL,AMD Ryzen 5,8 GB,256 GB,Windows,1920 x 1080,60 Hz,AMD Radeon Graphics,"15,6 inç",Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,5500U,6,5. Nesil,HDD Yok,Yok,,Full HD (FHD),DDR4,8 GB,HP Türkiye Garantili,HDMI,Dahili,,Q Türkçe (Aydınlatmasız),,2 Yıl,Gri,,,,,,,,,,
Warp,Optima Rgb Sıvı Soğutma Intel 12400f 16gb Rgb Ram 512gb Rtx 4070 12gb Beyaz Oyuncu Bilgisayarı,1,7,5.0,49.999 TL,Intel Core i5,16 GB,512 GB,Free Dos,,,Nvidia GeForce RTX 4070,,,4 kg ve üzeri,Harici,12 GB,,6,,HDD Yok,,,,DDR4,64 GB,Resmi Distribütör Garantili,VGA - HDMI - DP,GDDR6,2.5,Yok,,2 Yıl,,512 GB,2.50 GHz - 3.00 GHz,500 W ve üstü,Yok,Var,,,,,
Dell,"Inspiron 3520 Intel Core i5 1135G7 8GB 512GB SSD Ubuntu 15.6"" FHD 120Hz Taşınabilir Bilgisayar",2,17,5.0,13.999 TL,Intel Core i5,8 GB,512 GB,Free Dos,1920 x 1080,60 Hz,Intel Iris Graphics,"15,6 inç",Ofis - İş,2 - 4 kg,Dahili,Paylaşımlı,1135G7,4,11. Nesil,HDD Yok,Yok,,Full HD (FHD),DDR4,,Dell Türkiye Garantili,HDMI - USB,Dahili,,Q Türkçe (Aydınlatmasız),,2 Yıl,Siyah,,,,,,,,,,
CASPER,Excalibur G770.1270-BFJ0X-B i7-12700H 16GB RAM 1TB NVMe SSD GEN4 4GB RTX3050 DOS GAMING LAPTOP,43,72,4.6,31.900 TL,Intel Core i7,16 GB,1 TB,Free Dos,1920 x 1080,144 Hz,Nvidia GeForce RTX 3050,"15,6 inç",Oyun,2 - 4 kg,Harici,4 GB ve altı,12700H,10,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,64 GB,Casper Türkiye Garantili,HDMI,GDDR6,2.3,Q Türkçe,4.7,2 Yıl,Siyah,,,,,,,,,,
ACER,"Swift 3 AMD Ryzen 5-5500U 8GB 512GB SSD DOS 14"" FHD Gümüş Dizüstü Bilgisayar NX.AB1EY.002",222,288,4.5,11.499 TL,AMD Ryzen 5,8 GB,512 GB,Free Dos,1920 x 1080,60 Hz,AMD Radeon R5,14 inç,Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,5500U,6,5. Nesil,512 GB,Yok,,Full HD (FHD),LPDDR4X,8 GB,ACER Türkiye Garantili,USB - Bluetooth - HDMI,Dahili,,Q Türkçe,,2 Yıl,Gri,,,,,,,,,,
Zeiron,"Z160 i5-3470 16GB Ram 256GB SSD + 500GB HDD 23,8"" Monitörlü Masaüstü Ofis Bilgisayarı",143,211,4.6,8.048 TL,Intel Core i5,16 GB,256 GB,Windows,1920 x 1080,75 Hz,Intel HD Graphics,24 inç,Ofis - İş,4 kg ve üzeri,Dahili,Paylaşımlı,İ5-3470,4,3. Nesil,500 GB,,TN,Full HD (FHD),DDR3,16 GB,Zeiron Türkiye Garantili,HDMI,Dahili,3.2,Q Türkçe,,2 Yıl,Siyah,500 GB,3.00 GHz üstü,250 - 350 W,Yok,Var,,,,,
LENOVO,Ideapad 3 Intel Core İ3-1215U 8gb 512gb Ssd Freedos 14 İnç 82RJ00DETX,35,127,4.5,10.979 TL,Intel Core i3,8 GB,512 GB,Free Dos,1920 x 1080,60 Hz,Intel UHD Graphics,14 inç,Ev - Okul,2 kg ve altı,Dahili,Paylaşımlı,1215U,6,12. Nesil,512 GB,Yok,TN,Full HD (FHD),DDR4,,Lenovo Türkiye Garantili,USB - Bluetooth - HDMI,Dahili,1.4,Q Türkçe (Aydınlatmasız),4.4,2 Yıl,Gri,,,,Yok,,,,3 Saat ve Altı,,
ASUS,"Expertbook B1502 Intel Core İ5-1235U 16GB 512GB SSD 15,6"" Fhd Win 11 Pro Taşınabilir Bilgisayar",10,62,4.6,16.999 TL,Intel Core i5,16 GB,512 GB,Windows,1920 x 1080,60 Hz,Intel HD Graphics,"15,6 inç",Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,1235U,10,12. Nesil,HDD Yok,Yok,LED,Full HD (FHD),DDR4,,Asus Türkiye Garantili,USB - Bluetooth - HDMI,Dahili,1.3,Q Türkçe,4.4,2 Yıl,Lacivert,,,,Yok,,,,,,
ACER,"Aspire 3 A315-24P-R8KA AMD Ryzen 5 7520U 8GB 256GB SSD Freedos 15.6"" FHD NX.KDEEY.00A",2,9,5.0,"11.794,90 TL",AMD Ryzen 5,8 GB,256 GB,Free Dos,1920 x 1080,60 Hz,AMD Radeon Graphics,"15,6 inç",Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,7520U,8,7. Nesil,HDD Yok,Yok,,Full HD (FHD),LPDDR5,,ACER Türkiye Garantili,USB - Bluetooth - HDMI,GDDR6,2.8,Q Türkçe,4.3,2 Yıl,Beyaz,,,,Yok,,,,,,
