Marka,Model,Değerlendirme Sayısı,Soru-Cevap Sayısı,Değerlendirme Puanı,Fiyat,İşlemci Tipi,Ram (Sistem Belleği),SSD Kapasitesi,İşletim Sistemi,Çözünürlük,Ekran Yenileme Hızı,Ekran Kartı,Ekran Boyutu,Kullanım Amacı,Cihaz Ağırlığı,Ekran Kartı Tipi,Ekran Kartı Hafızası,İşlemci Modeli,İşlemci Çekirdek Sayısı,İşlemci Nesli,Hard Disk Kapasitesi,Dokunmatik Ekran,Panel Tipi,Çözünürlük Standartı,Ram (Sistem Belleği) Tipi,Arttırılabilir Azami Bellek,Garanti Tipi,Bağlantılar,Ekran Kartı Bellek Tipi,Temel İşlemci Hızı (GHz),Klavye,Maksimum İşlemci Hızı (GHz),Garanti Süresi,Renk,Kapasite,İşlemci Frekansı,Power Supply,Optik Sürücü Tipi,HDMI,Okula Dönüş,Beden,Şarjlı Kullanım Süresi,Ekran Kartı Gücü,Soket Tipi
ACER,Nitro 5 Intel Core i5-12500H 8GB 512GB SSD RTX4050 W11 15.6'' FHD 144Hz Gaming Laptop NH.QLZEY.002,22,62,4.5,"31.484,47 TL",Intel Core i5,8 GB,512 GB,Windows,1920 x 1080,144 Hz,ACER Türkiye Garantili,Nvidia GeForce RTX 4050,"15,6 inç",Oyun,2 - 4 kg,Dahili,6 GB,12500H,12+,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR5,,USB - Bluetooth - HDMI,GDDR6,Q Türkçe + Numerik (RGB Aydınlatmalı),2 Yıl,Siyah,,,,,,,,,
TURBOX,Tx1650 I7 860 16gb Ram 256gb Ssd 4gb Gt740 Ekran Kartı 23.6 Curved Çift Oyuncu Masaüstü Bilgisayarı,41,805,3.7,11.349 TL,Intel Core i7,16 GB,256 GB,Free Dos,1920 x 1080,75 Hz,Resmi Distribütör Garantili,Nvidia Geforce GT 740,"24"" / 61 Ekran",,4 kg ve üzeri,Harici,4 GB ve altı,,8,,HDD Yok,,VA,Full HD (FHD),DDR3,16 GB,HDMI,DDR3,Q Türkçe,2 Yıl,,3.4,,256 GB,3.00 GHz üstü,250 - 350 W,Yok,Var,,
CASPER,Nirvana X600.1215-BV00X-G-F Intel Core I3-1215u 16GB RAM 500GB NVME SSD Freedos,10,14,4.1,14.799 TL,Intel Core i3,16 GB,500 GB,Free Dos,1920 x 1080,60 Hz,Casper Türkiye Garantili,Intel UHD Graphics,"15,6 inç",Ev - Okul,2 kg ve altı,Dahili,Paylaşımlı,1215U,6,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,,USB - Bluetooth - HDMI,Dahili,Q Türkçe,2 Yıl,Metalik,,,,,,,,,
MSI,"Cyborg 15 A13vf-895xtr I5-13420h 16gb Gddr6 1tb Rtx 4060 8gb 15.6"" 144hz Freedos Full Hd Notebook",18,84,4.7,37.299 TL,Intel Core i5,16 GB,1 TB,Free Dos,1920 x 1080,144 Hz,Resmi Distribütör Garantili,Nvidia GeForce RTX 4060,"15,6 inç",Ofis - İş,2 - 4 kg,Harici,8 GB,13420H,8,13. Nesil,1 TB,Yok,IPS,Full HD (FHD),DDR5,4 GB,USB - Bluetooth - HDMI,GDDR6,Q Türkçe,2 Yıl,Siyah,,,,,,,,,
IZOLY,Sirius I5 3470 16gb 128gb Ssd Freedos Masaüstü Bilgisayar,69,118,4.7,3.599 TL,Intel Core i5,16 GB,128 GB,Free Dos,1920 x 1080,,Resmi Distribütör Garantili,Dahili Ekran Kartı,"5,5 - 6 inç",Ofis - İş,4 kg ve üzeri,Dahili,Paylaşımlı,İ5-3470,4,3. Nesil,HDD Yok,Yok,,,DDR3,16 GB,VGA - HDMI,Dahili,Yok,2 Yıl,Siyah,3.2,,Yok,3.00 GHz üstü,250 - 350 W,Yok,Var,,
ASUS,"Rog Strix G16 G614jv-n3157 13. Nesil Intel I7-13650hx 16gb 512gb Ssd 8gb Rtx4060 16"" Fhd+ 165hz",26,63,4.9,49.999 TL,Intel Core i7,16 GB,512 GB,Free Dos,1920 x 1200,165 Hz,Asus Türkiye Garantili,Nvidia GeForce RTX 4060,16 inç,Oyun,2 - 4 kg,Harici,8 GB,13650HX,8,13. Nesil,HDD Yok,Yok,IPS,FHD+,DDR5,,Bluetooth - HDMI,GDDR6,Q Türkçe (Aydınlatmasız),2 Yıl,Gri,,,,,,,,,
LENOVO,"13.3"" Dokunmatık Uyumlu Tp X13 G2 Yoga 20w8001htx Core I5 1135g7-8gb Ram-256gb Ssd-w10 Pro",2,6,5.0,"35.248,35 TL",Intel Core i5,8 GB,256 GB,Windows,1920 x 1080,Belirtilmemiş,Resmi Distribütör Garantili,Dahili Ekran Kartı,"13,3 inç",Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,1135G7,Belirtilmemiş,11. Nesil,HDD Yok,Var,,Full HD (FHD),DDR4,,Bluetooth - USB,Belirtilmemiş,Q Türkçe,2 Yıl,Siyah,,,,,,Yok,,,
MSI,Thın 15 B12uc-1478xtr I5-12450h 16gb Rtx3050 Gddr6 4gb 512gb Ssd 15.6 Fhd 144hz Dos,10,60,5.0,28.610 TL,Intel Core i5,16 GB,512 GB,Free Dos,1920 x 1080,144 Hz,MSI Türkiye Garantili,Nvidia GeForce RTX 3050,"15,6 inç",Oyun,2 - 4 kg,Harici,4 GB ve altı,12450H,8,12. Nesil,HDD Yok,Yok,LED,Full HD (FHD),DDR4,16 GB,HDMI - USB,GDDR6,Q Türkçe (Aydınlatmalı),2 Yıl,Siyah,,,,,,,,,
RAMTECH,"Fullforce Ff60 Intel I5 4570 16gb Ram 256gb Ssd 500gb Hdd 4gb Ekran Kartı 23,6"" Oyuncu Masaüstü Pc",20,390,4.2,9.999 TL,Intel Core i5,16 GB,256 GB,Free Dos,1920 x 1080,75 Hz,Resmi Distribütör Garantili,Nvidia Geforce GT 740,"24"" / 61 Ekran",,4 kg ve üzeri,Harici,4 GB ve altı,,4,,500 GB,,VA,Full HD (FHD),DDR3,16 GB,HDMI,DDR3,Q Türkçe,2 Yıl,,3.2,,500 GB,3.00 GHz üstü,350 - 500 W,Yok,Var,,
ASUS,TUF Gaming A15 FA506NC-HN048 Ryzen 5 7535HS 8GB RAM 512GB SSD 4GB RTX3050 15.6 inç FHD 144Hz,5,52,5.0,26.010 TL,AMD Ryzen 5,8 GB,512 GB,Free Dos,1920 x 1080,144 Hz,Resmi Distribütör Garantili,Nvidia GeForce RTX 3050,"15,6 inç",Oyun,2 - 4 kg,Harici,4 GB ve altı,7535HS,6,7. Nesil,HDD Yok,Yok,Full HD,Full HD (FHD),DDR5,,Bluetooth - HDMI,GDDR6,Q Türkçe (Aydınlatmalı),2 Yıl,Siyah,,,,,,,,,
Dell,G15 5530 i7-13650HX 32GB 512GB SSD 6GB RTX3050 95W 15.6 FHD 120Hz Ubuntu G155530005U-32GB,1,5,5.0,35.299 TL,Intel Core i7,32 GB,512 GB,Linux,1920 x 1080,120 Hz,Resmi Distribütör Garantili,Nvidia GeForce RTX 3050,"15,6 inç",Oyun,2 - 4 kg,Harici,6 GB,13650HX,14,13. Nesil,HDD Yok,Yok,VA,Full HD (FHD),DDR5,,USB - Bluetooth - HDMI,GDDR6,Q Türkçe (Aydınlatmalı),2 Yıl,Siyah,,,,,,,,,
Dell,"Inspiron 3520 Intel Core i5-1235U 16GB 512GB SSD 15.6"" FHD Linux Siyah Dizüstü Bilgisayar",19,64,4.1,14.499 TL,Intel Core i5,16 GB,512 GB,Linux,1920 x 1080,120 Hz,Dell Türkiye Garantili,Intel Iris Graphics,"15,6 inç",Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,1235U,10,12. Nesil,HDD Yok,Yok,,Full HD (FHD),DDR4,,USB - Bluetooth - HDMI,Dahili,Q Türkçe + Numerik (Aydınlatmasız),2 Yıl,Siyah,,4.4,,,,,,,
ASUS,Tuf Gaming A15 Fa506nf-hn050 4gb Rtx2050 Ryzen 5 7535hs 8gb Ram 512gb Ssd 15.6 Inç Fhd 144hz,3,31,5.0,21.789 TL,AMD Ryzen 5,8 GB,512 GB,Free Dos,1920 x 1080,144 Hz,Asus Türkiye Garantili,Nvidia GeForce RTX 2050,"15,6 inç",Oyun,2 - 4 kg,Harici,4 GB ve altı,7535HS,6,7. Nesil,HDD Yok,Yok,Full HD,Full HD (FHD),DDR5,,Bluetooth - HDMI,GDDR6,Q Türkçe (Aydınlatmalı),2 Yıl,Siyah,,,,,,,,,
LENOVO,"Yoga Slim 6 Intel Core I5-1240p 8 Gb 512 Gb Ssd Integrated Intel Iris Xe Graphics 14"" Wuxga (",12,35,4.9,27.499 TL,Intel Core i5,8 GB,512 GB,Windows,1920 x 1200,90 Hz,Lenovo Türkiye Garantili,Intel XE Graphics,14 inç,Ev - Okul,2 kg ve altı,Dahili,8 GB,Belirtilmemiş,12+,10. Nesil,512 GB,Yok,,Full HD (FHD),LPDDR5,8 GB,Bluetooth,DDR5,Q Türkçe (Aydınlatmasız),2 Yıl,Beyaz,,,,,,,,,
ASUS,ROG Strix G18 G814JZR-N6092 Gaming i9 14900HX 32GB 1TB SSD RTX 4080-175Watt Dos 18 240Hz WQXGA,3,7,5.0,106.999 TL,Intel Core i9,32 GB,1 TB,Free Dos,2560 x 1600,240 Hz,Asus Türkiye Garantili,Nvidia GeForce RTX 4080,18 inç,Oyun,2 - 4 kg,Harici,12 GB,14900HX,24,14. Nesil,HDD Yok,Yok,IPS,WQXGA,DDR5,64 GB,USB,GDDR6,Q Türkçe + Numerik (RGB Aydınlatmalı),2 Yıl,Koyu Gri,,,,,,,,,175W
MONSTER,"Abra A7 V15.1.4 Intel Core i7 12700H 16 GB RAM 1 TB SSD 6 GB RTX 3050 FreeDOS 17,3"" FHD 144 Hz",7,15,4.9,34.299 TL,Intel Core i7,16 GB,1 TB,Free Dos,1920 x 1080,144 Hz,Monster Türkiye Garantili,Nvidia GeForce RTX 3050,"17,3 inç",Oyun,2 - 4 kg,Harici,6 GB,12700H,14,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,32 GB,USB - Bluetooth - HDMI,GDDR6,Q Türkçe + Numerik (RGB Aydınlatmalı),2 Yıl,Siyah,2.3,4.7,,,,,,4-6 Saat,75W
Apple,"13-inch MacBook Air: Apple M3 chip with 8-core CPU and 10-core GPU, 8GB, 512GB SSD - Silver",6,1,1.7,55.849 TL,,8 GB,512 GB,Mac Os,2560 x 1664,Belirtilmemiş,Apple Türkiye Garantili,M3,"13,6 inç",Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,Belirtilmemiş,8,Belirtilmemiş,HDD Yok,Yok,,QHD,LPDDR5,,USB-C,Belirtilmemiş,Q Türkçe,2 Yıl,Gümüş,,,,,,,,,
ACER,"Aspire 3 A315-35-08PYPY, N4500, 8GB RAM, 128GB SSD, UHD Graphics, 15.6"" Win 11 Pro",6,14,4.0,8.699 TL,Intel Celeron,8 GB,128 GB,Windows,1920 x 1080,60 Hz,ACER Türkiye Garantili,Intel UHD Graphics,"15,6 inç",Ev - Okul,2 kg ve altı,Dahili,Paylaşımlı,N4200,2,5. Nesil,HDD Yok,Yok,,Full HD (FHD),DDR4,,USB - Bluetooth - HDMI,DDR4,Q Türkçe (Aydınlatmalı),2 Yıl,Beyaz,,,,,,,,,
ACER,"Nitro5 Intel Core i5-12450H 8GB 256GB SSD RTX3050 Linux 15.6"" 144Hz Siyah Gaming Laptop NH.QFJEY.00A",4,27,5.0,25.396 TL,Intel Core i5,8 GB,256 GB,Linux,1920 x 1080,144 Hz,ACER Türkiye Garantili,Nvidia GeForce RTX 3050,"15,6 inç",Oyun,2 - 4 kg,Harici,4 GB ve altı,12450H,8,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,8 GB,USB - Bluetooth - HDMI,GDDR6,Q Türkçe + Numerik (Aydınlatmalı),2 Yıl,Siyah,,,,,,,,,
MONSTER,"Abra A5 V20.4.2 Intel Core i5 12450H 32 GB RAM 1 TB SSD 6 GB RTX 4050 FreeDos 15,6"" FHD 144 Hz",288,386,4.7,38.299 TL,Intel Core i5,32 GB,1 TB,Free Dos,1920 x 1080,144 Hz,Monster Türkiye Garantili,Nvidia GeForce RTX 4050,"15,6 inç",Oyun,2 - 4 kg,Harici,6 GB,12450H,8,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,32 GB,USB - Bluetooth - HDMI,GDDR6,Q Türkçe + Numerik (Aydınlatmalı),2 Yıl,Siyah,2,4.4,,,,,,3 Saat ve Altı,105W
CASPER,Excalibur G770.1245-BFJ0X-B i5-12450H 16GB RAM 1TB SSD GEN4 4GB RTX3050 DOS GAMING LAPTOP,50,107,4.6,31.399 TL,Intel Core i5,16 GB,1 TB,Free Dos,1920 x 1080,144 Hz,Casper Türkiye Garantili,Nvidia GeForce RTX 3050,"15,6 inç",Oyun,2 - 4 kg,Harici,4 GB ve altı,12450H,8,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,64 GB,HDMI,GDDR6,Q Türkçe,2 Yıl,Siyah,2.5,4.4,,,,,,,
MSI,Thın Gf63 12ve-083xtr I5-12450h 16gb Ddr4 Rtx4050 Gddr6 6gb 1tb Ssd 15.6 Fhd 144hz Dos,35,111,4.1,"41.277,89 TL",Intel Core i5,16 GB,1 TB,Free Dos,1920 x 1080,144 Hz,MSI Türkiye Garantili,Nvidia GeForce RTX 4050,"15,6 inç",Oyun,2 kg ve altı,Harici,6 GB,12450H,8,12. Nesil,HDD Yok,Yok,Full HD,Full HD (FHD),DDR4,4 GB,USB - Bluetooth - HDMI,GDDR6,Q Türkçe,2 Yıl,Siyah,4,,,,,,,6 Saat ve Üstü,
LENOVO,Ideapad 1 Amd Ryzen™ 5 5500u 16 Gb 512 Gb Ssd Freedos 14 Inç 82r3008wtx16512,1,14,4.0,12.999 TL,AMD Ryzen 5,16 GB,512 GB,Free Dos,1920 x 1080,90 Hz,Lenovo Türkiye Garantili,AMD Radeon Graphics,14 inç,Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,5500U,6,5. Nesil,HDD Yok,Yok,TN,Full HD (FHD),DDR4,40 GB,USB - Bluetooth - HDMI,Belirtilmemiş,Q Türkçe,2 Yıl,Gri,2.1,4.0,,,,Yok,,4-6 Saat,
LENOVO,LOQ 15IAX9 83GS007XTR i5-12450HX 8GB 512 GB SSD RTX 4060 GDDR6 15.6'' FHD FreeDOS Gaming (Oyu,4,26,5.0,34.999 TL,Intel Core i5,8 GB,512 GB,Free Dos,1920 x 1080,Belirtilmemiş,Resmi Distribütör Garantili,Nvidia GeForce RTX 4060,"15,6 inç",Oyun,2 - 4 kg,Harici,8 GB,Belirtilmemiş,8,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR5,16 GB,USB - Bluetooth - HDMI,GDDR6,Q Türkçe,2 Yıl,Renkli,,,,,,,,,
LENOVO,"Ideapad Gaming 3 AMD Ryzen 5 5600H 16GB 512GB SSD RTX3050Ti Freedos 15.6"" FHD Dizüstü Bilgisayar",1,5,3.0,28.999 TL,AMD Ryzen 5,16 GB,512 GB,Free Dos,1920 x 1080,120 Hz,Lenovo Türkiye Garantili,Nvidia GeForce RTX 3050 Ti,"15,6 inç",Oyun,2 - 4 kg,Harici,4 GB ve altı,5600H,8,5. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,32 GB,USB - Bluetooth - HDMI,GDDR6,Q Türkçe + Numerik (RGB Aydınlatmalı),2 Yıl,Siyah,3.3,,,,,,,3 Saat ve Altı,
DMC,"49x (PUBG,GTA 5) I5 9400f,32gb Ram,500gb Hdd,256gb Ssd,rx580,24''165hz Masaüstü Oyuncu Bilgisayarı",8,29,5.0,19.279 TL,Intel Core i5,32 GB,256 GB,Windows,1920 x 1080,165 Hz,Resmi Distribütör Garantili,AMD Radeon RX 580,"24"" / 61 Ekran",Oyun,,Harici,8 GB,9400F,6,Belirtilmemiş,500 GB,,IPS,Full HD (FHD),DDR4,,HDMI,GDDR5,RGB,2 Yıl,Siyah,2.9,,256 GB,,500 W ve üstü,Yok,Var,,
ASUS,"Intel Celeron N4020 16gb 256gb Ssd Fhd 15.6"" 60hz Freedos Taşınabilir Bilgisayar X515ma-ej679wt18",5,17,4.4,10.499 TL,Intel Celeron,16 GB,256 GB,Free Dos,1920 x 1080,60 Hz,Asus Türkiye Garantili,Intel UHD Graphics,"15,6 inç",Ev - Okul,2 kg ve altı,Dahili,Paylaşımlı,N4020,2,Belirtilmemiş,HDD Yok,Yok,TN,Full HD (FHD),DDR4,,Wi-Fi,Dahili,Q Türkçe (Aydınlatmasız),2 Yıl,Gri,1.1,2.8,,,,Yok,,,
HP,"Victus Gaming 16-S0035NT Ryzen 5 7640HS 16GB 512GB SSD RTX4060 Freedos 16.1"" FHD 7Z5Z2EA",11,21,3.8,36.999 TL,AMD Ryzen 5,16 GB,512 GB,Free Dos,1920 x 1080,144 Hz,HP Türkiye Garantili,Nvidia GeForce RTX 4060,"16,1 inç",Oyun,2 - 4 kg,Dahili,8 GB,7640HS,6,7. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR5,16 GB,Bluetooth - HDMI,GDDR6,Q Türkçe (Aydınlatmalı),2 Yıl,Mika Gümüşü,,,,,,,,,
Apple,"15-inch MacBook Air: Apple M2 chip with 8-core CPU and 10-core GPU, 512GB - Starlight",20,18,4.9,53.599 TL,Apple M2,8 GB,512 GB,Mac Os,2880 x 1800,120 Hz,Apple Türkiye Garantili,M2 10 Çekirdekli,15 inç,Ofis - İş,2 kg ve altı,Dahili,8 GB,Belirtilmemiş,8,2. Nesil,512 GB,Yok,,QHD,LPDDR5,,Bluetooth,DDR5,Q Türkçe (Aydınlatmalı),2 Yıl,Altın,,,,,,,,,
LENOVO,"IP Gaming3 AMD Ryzen 5-7535HS 16GB 512GB RTX4050 DOS 15.6"" Onyx Grey Gaming Laptop 82SB00PDTX",27,61,4.6,32.000 TL,AMD Ryzen 5,16 GB,512 GB,Free Dos,1920 x 1080,120 Hz,Lenovo Türkiye Garantili,Nvidia GeForce RTX 4050,"15,6 inç",Oyun,2 - 4 kg,Harici,6 GB,Belirtilmemiş,6,7. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR5,,USB - Bluetooth - HDMI,GDDR6,Q Türkçe (Aydınlatmalı),2 Yıl,Onyx Grey,,,,,,,,,
RAMTECH,"BF ROG PLUS İ5-9400F 16RAM 480SSD GTX750Tİ-4GB 23,6 CURVED GAMING PC",8,82,4.4,17.499 TL,Intel Core i5,16 GB,480 GB,Free Dos,1920 x 1080,,Resmi Distribütör Garantili,Nvidia GeForce GTX750 Ti,22 - 24 inç,,4 kg ve üzeri,Harici,4 GB ve altı,,6,,HDD Yok,,,Full HD (FHD),DDR4,32 GB,VGA,DDR5,Q Türkçe,2 Yıl,,2.9,,Yok,2.50 GHz - 3.00 GHz,350 - 500 W,Yok,Var,,
DRAGOS,Redstone Intel Core I9 11900f 32gb 1tb M.2 Nvme 8gb Rtx4060 Sıvı Soğutmalı Oyuncu Bilgisayarı,3,56,5.0,34.999 TL,Intel Core i9,32 GB,1 TB,Free Dos,,,Resmi Distribütör Garantili,Nvidia GeForce RTX 4060,,,,Harici,,,8,,HDD Yok,,,,DDR4,,,GDDR5,,2 Yıl,,,,512 GB,,,Yok,,,
LENOVO,Thinkbook 16PG5 IRX 21N50024TR i9-14900HX 32GB 1TB SSD RTX4060 8GB 16inç 165Hz FDos Laptop,1,5,1.0,,Intel Core i9,32 GB,1 TB,Free Dos,3200 x 1800,165 Hz,Resmi Distribütör Garantili,Nvidia GeForce RTX 4060,16 inç,Oyun,Belirtilmemiş,Harici,8 GB,14900HX,24,14. Nesil,HDD Yok,Yok,IPS,OLED 3.2K,DDR5,,USB - Bluetooth - HDMI,GDDR6,Q Türkçe,2 Yıl,Gri,1.6,+5,,,,,,,
Zeiron,"Rcx60 | Windows 11 Pro Ryzen 5 3600 32GB 512GB SSD Rx580 8GB 23.8"" Curved Oyuncu Masaüstü Bilgisayar",133,370,4.4,17.799 TL,AMD Ryzen 5,32 GB,512 GB,Free Dos,1920 x 1080,75 Hz,Zeiron Türkiye Garantili,AMD Radeon RX 580,"24"" / 61 Ekran",,4 kg ve üzeri,Harici,8 GB,,6,,HDD Yok,,VA,Full HD (FHD),DDR4,64 GB,Wi-Fi,GDDR5,RGB,2 Yıl,,3.6,,512 GB,3.00 GHz üstü,500 W ve üstü,Yok,Var,,
ASUS,Expertbook B1502CBA-I58512B0D i5-1235U 8 GB 512 GB SSD Free Dos FHD,1,11,5.0,15.399 TL,Intel Core i5,8 GB,512 GB,Free Dos,1920 x 1080,60 Hz,Resmi Distribütör Garantili,Intel UHD Graphics,"15,6 inç",Ev - Okul,2 kg ve altı,Dahili,Paylaşımlı,1235U,10,12. Nesil,HDD Yok,Yok,LED,Full HD (FHD),DDR4,32 GB,USB - Bluetooth - HDMI,DDR4,Q Türkçe (Aydınlatmasız),2 Yıl,Mavi,,,,,,Yok,,4-6 Saat,
ACER,"Aspire i5-12450H 16GB 512GB SSD FDOS 15.6"" IPS (1920x1080) Taşınabilir Bilgisayar NX.KN4EY.002",20,52,4.5,15.999 TL,Intel Core i5,16 GB,512 GB,Free Dos,1920 x 1080,60 Hz,ACER Türkiye Garantili,Intel UHD Graphics,"15,6 inç",Ofis - İş,2 kg ve altı,Harici,Paylaşımlı,12450H,8,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,,Bluetooth - HDMI,Belirtilmemiş,Q Türkçe,2 Yıl,Siyah,,,,,,,,3 Saat ve Altı,
Apple,"15-inch MacBook Air: Apple M2 chip with 8-core CPU and 10-core GPU, 512GB - Silver",6,6,4.7,46.999 TL,Apple M2,8 GB,512 GB,Mac Os,2880 x 1800,120 Hz,Apple Türkiye Garantili,M2 10 Çekirdekli,15 inç,Ofis - İş,2 kg ve altı,Dahili,8 GB,Belirtilmemiş,8,2. Nesil,512 GB,Yok,,QHD,LPDDR5,,Bluetooth,DDR5,Q Türkçe (Aydınlatmalı),2 Yıl,Gümüş,,,,,,,,,
RAMTECH,Eco Gaming V10 I5 3470 16gb Ram 240gb Ssd 500gb Hdd 4gb E. Kartı 20inç Monitör Oyun Bilgisayarı,9,66,4.3,,Intel Core i5,16 GB,240 GB,Free Dos,1920 x 1080,60 Hz,Resmi Distribütör Garantili,Nvidia GeForce GT 730,20 inç,,4 kg ve üzeri,Harici,4 GB ve altı,,4,,500 GB,,TN,Full HD (FHD),DDR3,16 GB,USB,DDR3,RGB,2 Yıl,,3.2,,500 GB,3.00 GHz üstü,250 - 350 W,Yok,Var,,
LENOVO,Ideapad 3 Slim Case Intel Core I5-12450h 8gb 512gb Ssd Freedos 14 Inç 83eq000atr,45,82,4.4,17.499 TL,Intel Core i5,8 GB,512 GB,Free Dos,1920 x 1080,60 Hz,Lenovo Türkiye Garantili,Intel UHD Graphics,14 inç,Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,12450H,8,12. Nesil,512 GB,Yok,,Full HD (FHD),LPDDR5,,USB - Bluetooth - HDMI,Dahili,Q Türkçe (Aydınlatmasız),2 Yıl,Gri,,,,,,,,,
LENOVO,LOQ 15IRH8 /Core i5-12450H/8 GB RAM/ 512GB SSD/RTX4050/15.6''/W11/Laptop 82XV00HKTX,1,8,4.0,31.699 TL,Intel Core i5,8 GB,512 GB,Windows,1920 x 1080,Belirtilmemiş,Resmi Distribütör Garantili,Nvidia GeForce RTX 4050,"15,6 inç",Ofis - İş,2 - 4 kg,Harici,6 GB,12450H,4,12. Nesil,HDD Yok,Yok,,Full HD (FHD),DDR5,8 GB,Wi-Fi,Belirtilmemiş,Q İngilizce,2 Yıl,Gri,,,,,,,,,
MONSTER,"Abra A5 V20.4.6 Intel Core i5 12450H 8 GB RAM 500 GB SSD 6 GB RTX 4050 FreeDos 15,6"" FHD 144 Hz",2,10,5.0,33.499 TL,Intel Core i5,8 GB,500 GB,Free Dos,1920 x 1080,144 Hz,Monster Türkiye Garantili,Nvidia GeForce RTX 4050,"15,6 inç",Oyun,2 - 4 kg,Harici,6 GB,12450H,8,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,32 GB,USB - Bluetooth - HDMI,GDDR6,Q Türkçe + Numerik (Aydınlatmalı),2 Yıl,Siyah,2,4.4,,,,,,3 Saat ve Altı,105W
LENOVO,"IdeaPad Slim 3 15IAH8 Intel Core i5 12450H 8GB 256GB SSD Freedos 15.6"" FHD 83ER0084TR",15,31,4.2,14.597 TL,Intel Core i5,8 GB,256 GB,Free Dos,1920 x 1080,60 Hz,Lenovo Türkiye Garantili,Intel UHD Graphics,"15,6 inç",Ev - Okul,2 kg ve altı,Dahili,Paylaşımlı,12450H,8,12. Nesil,HDD Yok,Yok,,Full HD (FHD),LPDDR5,,USB - Bluetooth - HDMI,Dahili,Q Türkçe (Aydınlatmasız),2 Yıl,Gri,,,,,,,,,
ASUS,Vivobook 15 X1502ZAA61-EJ2123 Intel i7 1255U 8GB 512GB SSD 15.6 FHD,2,1,5.0,25.449 TL,Intel Core i7,8 GB,512 GB,Free Dos,1920 x 1080,60 Hz,Resmi Distribütör Garantili,Dahili Ekran Kartı,"15,6 inç",Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,1255U,10,12. Nesil,HDD Yok,Yok,VA,Full HD (FHD),DDR4,40 GB,USB - Bluetooth - HDMI,Dahili,Q Türkçe + Numerik (Aydınlatmasız),2 Yıl,Gri,1.7,4.7,,,,Yok,,4-6 Saat,
HP,"Pavilion 15-ec2059nt Amd Ryzen 5 5600h 8gb 512gb Ssd Gtx 1650 15.6""fhd 144 Hz Ips Freedos 68n74ea",24,87,3.9,29.999 TL,AMD Ryzen 5,8 GB,512 GB,Free Dos,1920 x 1080,144 Hz,Resmi Distribütör Garantili,Nvidia GeForce GTX 1650,"15,6 inç",Oyun,2 kg ve altı,Harici,4 GB ve altı,5600H,6,Belirtilmemiş,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,,Bluetooth - USB,GDDR6,Q Türkçe,2 Yıl,Siyah,3.3,4.2,,,,,,,
CASPER,Excalibur G770.1270-BFJ0X-B i7-12700H 16GB RAM 1TB NVMe SSD GEN4 4GB RTX3050 DOS GAMING LAPTOP,43,72,4.6,31.900 TL,Intel Core i7,16 GB,1 TB,Free Dos,1920 x 1080,144 Hz,Casper Türkiye Garantili,Nvidia GeForce RTX 3050,"15,6 inç",Oyun,2 - 4 kg,Harici,4 GB ve altı,12700H,10,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,64 GB,HDMI,GDDR6,Q Türkçe,2 Yıl,Siyah,2.3,4.7,,,,,,,
MONSTER,"Tulpar T7 V20.8.9 Intel Core i7 12700H 64 GB RAM 1 TB SSD 8 GB RTX 4060 Windows 11 17,3"" FHD 144 Hz",7,9,4.4,56.199 TL,Intel Core i7,64 GB,1 TB,Windows,1920 x 1080,144 Hz,Monster Türkiye Garantili,Nvidia GeForce RTX 4060,"17,3 inç",Oyun,2 - 4 kg,Harici,8 GB,12700H,14,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,16 GB,USB - Bluetooth - HDMI,GDDR6,Q Türkçe + Numerik (RGB Aydınlatmalı),2 Yıl,Siyah,2.3,4.7,,,,,,4-6 Saat,140W
